# SEQ	Class	Imp	Imp_val	g0	g1	v0	v2	v3	v4	v5	v6	v7	v8	v9	v10		
35	1-4	高	3	1.6	-0.2	0.35	1	-0.43	0.43	-0.3	34.9	34.9	-0.7	-0.24	0.28
36	1-9	中	2	3	-0.7	0.7	0	-0.7	0.7	-0.7	0	0	-0.8	-0.7	0.7
37	1-9	中	2	0	0	0	0	0	0	0	0	0	0	0	0
38	1-4	高	3	0.9	-0.4	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.45	0.45
39	1-9	低	1	1.8	-0.4	0.57	1	-0.75	0.75	-0.43	38.8	38.8	-0.9	-0.43	0.57
40	1-9	中	2	1.3	-0.6	0.6	0	-0.6	0.6	-0.6	0	0	-0.8	-0.6	0.6
41	1-9	低	1	1.4	-0.7	0.65	0	-0.65	0.65	-0.65	0	0	-0.8	-0.65	0.65
42	1-9	中	2	1.4	-0.7	0.7	0	-0.7	0.7	-0.7	0	0	-0.8	-0.7	0.7
43	1-4	中	2	0.9	-0.1	0.45	1	-0.6	0.6	-0.15	42.7	42.7	-0.6	-0.15	0.45
44	2-6	中	2	0.9	-0.3	0.45	1	-0.8	0.8	-0.35	43.9	43.9	-0.8	-0.35	0.45
45	2-6	中	2	1.1	0	0.55	1	-0.7	0.7	-0.15	44.6	44.6	-0.7	-0.07	0.28
46	2-6	中	2	1.2	-0.6	0.55	0	-0.55	0.55	-0.55	0	0	-0.6	-0.55	0.55
47	1-4	高	3	0.8	-0.4	0.4	0	-0.4	0.4	-0.4	0	0	-0.6	-0.4	0.4
48	1-4	高	3	4.3	-0.4	0.56	1	-0.58	0.58	-0.44	47.6	47.6	-0.8	-0.39	0.49
49	2-6	中	2	1.8	0.4	0.57	3	0	0	0.57	48.43	48.43	0	0.43	0.43
50	2-6	中	2	2.4	0	0.38	2	-0.35	0.35	-0.08	49.55	49.55	-0.5	-0.08	0.38
51	1-4	高	3	2.6	-0.5	0.5	0	-0.5	0.5	-0.5	0	0	-0.9	-0.5	0.5
52	2-3	高	3	0.5	-0.2	0.4	0	-0.4	0.4	-0.4	0	0	-0.4	-0.2	0.2
53	1-9	中	2	1.5	-0.7	0.75	0	-0.75	0.75	-0.75	0	0	-0.9	-0.75	0.75
54	1-6	低	1	2	-0.3	0.48	1	-0.53	0.53	-0.33	53.7	53.7	-0.8	-0.33	0.48
55	3-4	高	3	2	-0.6	0.67	0	-0.67	0.67	-0.67	0	0	-0.8	-0.67	0.67
56	1-7	低	1	2.6	-0.5	0.6	0	-0.6	0.6	-0.6	0	0	-0.8	-0.48	0.48
57	1-6	中	2	1.1	0	0.2	2	-0.13	0.13	0.04	56.7	56.7	-0.2	0.04	0.2
58	1-4	高	3	1.6	-0.1	0.47	1	-0.5	0.5	-0.2	57.6	57.6	-0.9	-0.15	0.35
59	1-6	高	3	1	-0.2	0.27	0	-0.27	0.27	-0.27	0	0	-0.3	-0.2	0.2
60	3-4	高	3	1.4	-0.7	0.7	0	-0.7	0.7	-0.7	0	0	-0.8	-0.7	0.7
61	2-6	高	3	1.4	-0.4	0.65	0	-0.65	0.65	-0.65	0	0	-0.7	-0.43	0.43
62	3-1	高	3	0.8	-0.2	0.7	0	-0.7	0.7	-0.7	0	0	-0.7	-0.23	0.23
63	1-7	中	2	3	-0.3	0.56	1	-0.65	0.65	-0.48	62.8	62.8	-0.9	-0.34	0.4
64	1-7	高	3	0.3	-0.3	0.3	0	-0.3	0.3	-0.3	0	0	-0.3	-0.3	0.3
65	1-3	高	3	0.5	0.2	0.5	1	0	0	0.5	64.5	64.5	0	0.25	0.25
66	1-7	中	2	0.9	-0.9	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.9	0.9
67	3-2	中	2	2.9	-0.3	0.47	1	-0.48	0.48	-0.33	66.6	66.6	-0.8	-0.33	0.47
68	1-9	高	3	3.4	-0.3	0.46	2	-0.58	0.58	-0.37	67.85	67.85	-0.8	-0.32	0.4
69	2-5	高	3	1	-0.5	0.5	0	-0.5	0.5	-0.5	0	0	-0.9	-0.5	0.5
70	2-6	高	3	1.3	-0.6	0.65	0	-0.65	0.65	-0.65	0	0	-0.9	-0.65	0.65
71	2-3	高	3	0.7	-0.3	0.7	0	-0.7	0.7	-0.7	0	0	-0.7	-0.35	0.35
72	2-7	高	3	2.8	-0.2	0.52	1	-0.5	0.5	-0.28	71.4	71.4	-0.7	-0.28	0.52
73	1-2	高	3	0.9	-0.9	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.9	0.9
74	1-9	高	3	2.7	-0.2	0.34	3	-0.47	0.47	-0.2	73.83	73.83	-0.5	-0.2	0.34
75	2-6	高	3	1.9	-0.1	0.4	2	-0.6	0.6	-0.2	74.8	74.8	-0.7	-0.13	0.27
76	2-6	低	1	5.3	-0.2	0.41	3	-0.46	0.46	-0.27	75.73	75.73	-0.9	-0.25	0.38
77	3-5	中	2	2.1	-0.7	0.67	0	-0.67	0.67	-0.67	0	0	-0.8	-0.67	0.67
78	3-5	中	2	2.5	-0.5	0.77	0	-0.77	0.77	-0.77	0	0	-0.9	-0.46	0.46
79	2-7	低	1	0.7	0	0.13	2	-0.2	0.2	0	78.9	78.9	-0.2	0	0.1
