# SEQ	Class	Imp	Imp_val	c_pos	m_avg_nzr	s_avg_nzr	s_avg_neg	m_avg_neg	m_sum_pos	s_min	s_sdv_pos	m_sdv_pos	s_avg_all
42	1-9	中	2	0	0.70	-0.70	-0.70	0.70	0.00	-0.80	0.00	0.00	-0.70
43	1-4	中	2	1	0.45	-0.15	-0.60	0.60	0.30	-0.60	42.70	42.70	-0.15
44	2-6	中	2	1	0.45	-0.35	-0.80	0.80	0.10	-0.80	43.90	43.90	-0.35
45	2-6	中	2	1	0.55	-0.15	-0.70	0.70	0.40	-0.70	44.60	44.60	-0.10
46	2-6	中	2	0	0.55	-0.55	-0.55	0.55	0.00	-0.60	0.00	0.00	-0.55
47	1-4	高	3	0	0.40	-0.40	-0.40	0.40	0.00	-0.60	0.00	0.00	-0.40
48	1-4	高	3	1	0.56	-0.44	-0.58	0.58	0.40	-0.80	47.60	47.60	-0.39
49	2-6	中	2	3	0.57	0.57	0.00	0.00	1.70	0.40	48.43	48.43	0.57
50	2-6	中	2	2	0.38	-0.08	-0.35	0.35	0.90	-0.50	49.55	49.55	-0.08
51	1-4	高	3	0	0.50	-0.50	-0.50	0.50	0.00	-0.90	0.00	0.00	-0.50
52	2-3	高	3	0	0.40	-0.40	-0.40	0.40	0.00	-0.40	0.00	0.00	-0.20
53	1-9	中	2	0	0.75	-0.75	-0.75	0.75	0.00	-0.90	0.00	0.00	-0.75
54	1-6	低	1	1	0.48	-0.33	-0.53	0.53	0.30	-0.80	53.70	53.70	-0.33
55	3-4	高	3	0	0.80	-0.80	-0.80	0.80	0.00	-0.80	0.00	0.00	-0.80
56	1-7	低	1	0	0.60	-0.60	-0.60	0.60	0.00	-0.80	0.00	0.00	-0.48
57	1-6	中	2	2	0.20	0.04	-0.13	0.13	0.60	-0.20	56.70	56.70	0.04
58	1-4	高	3	1	0.47	-0.20	-0.50	0.50	0.40	-0.90	57.60	57.60	-0.20
59	1-6	高	3	0	0.27	-0.27	-0.27	0.27	0.00	-0.30	0.00	0.00	-0.20
60	3-4	高	3	0	0.70	-0.70	-0.70	0.70	0.00	-0.80	0.00	0.00	-0.70
61	2-6	高	3	0	0.65	-0.65	-0.65	0.65	0.00	-0.70	0.00	0.00	-0.43
62	3-1	高	3	0	0.70	-0.70	-0.70	0.70	0.00	-0.70	0.00	0.00	-0.23
63	1-7	中	2	1	0.56	-0.48	-0.65	0.65	0.20	-0.90	62.80	62.80	-0.40
64	1-7	高	3	0	0.30	-0.30	-0.30	0.30	0.00	-0.30	0.00	0.00	-0.30
65	1-3	高	3	1	0.50	0.50	0.00	0.00	0.50	0.00	64.50	64.50	0.25
66	1-7	中	2	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.90
67	3-2	中	2	1	0.47	-0.33	-0.48	0.48	0.40	-0.80	66.60	66.60	-0.33
68	1-9	高	3	2	0.46	-0.37	-0.58	0.58	0.30	-0.80	67.85	67.85	-0.32
69	2-5	高	3	0	0.50	-0.50	-0.50	0.50	0.00	-0.90	0.00	0.00	-0.50
70	2-6	高	3	0	0.65	-0.65	-0.65	0.65	0.00	-0.90	0.00	0.00	-0.65
71	2-3	高	3	0	0.70	-0.70	-0.70	0.70	0.00	-0.70	0.00	0.00	-0.35
72	2-7	高	3	1	0.52	-0.28	-0.50	0.50	0.60	-0.70	71.40	71.40	-0.28
73	1-2	高	3	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.90
74	1-9	高	3	2	0.38	-0.25	-0.47	0.47	0.40	-0.50	73.80	73.80	-0.25
75	2-6	高	3	1	0.47	-0.33	-0.60	0.60	0.20	-0.70	74.80	74.80	-0.20
76	2-6	低	1	3	0.41	-0.27	-0.46	0.46	0.80	-0.90	75.73	75.73	-0.25
77	3-5	中	2	0	0.67	-0.67	-0.67	0.67	0.00	-0.80	0.00	0.00	-0.67
78	3-5	中	2	0	0.77	-0.77	-0.77	0.77	0.00	-0.90	0.00	0.00	-0.46
79	2-7	低	1	2	0.13	0.00	-0.20	0.20	0.20	-0.20	78.90	78.90	0.00
